npc_id,text
regular,Nice day for it.
regular,"Line's moving. Slower than Tuesday, but moving."
regular,Anyone seen the guy with the cooler? He was here in spring.
regular,I used to count. Then I stopped. Then I started again. Now I just stand.
regular,Somebody's getting to the front soon. Can feel it.
regular,"If you need the stool, ask. I only have the one."
regular,This is about the length it was during the launch. Whichever launch.
regular,There was a chalk mark here once. Right here. Meant something.
streamer,"Chat, we're at hour three. Hour three, chat."
streamer,"Shout out to everyone watching. Which is, at time of writing, nobody. Love you."
streamer,"Okay chat, somebody just joined the line. Say hi. Chat? Say hi."
streamer,Battery's at 40. We're good. We're so good.
streamer,If you're watching on replay: hi from the past. It was fine.
streamer,New sub goal: one sub.
streamer,I'm going to do a dance if we hit five viewers. We won't. But I would.
streamer,"Chat, real talk. This is the longest stream I've ever done. Chat?"
placeholder,Still holding it. They're coming.
placeholder,"Sorry, that spot's taken. Not by me. By my friend."
placeholder,They said they were leaving 'in a bit.' That was a bit ago.
placeholder,If anyone's wondering about the gap in the line: that's on purpose.
placeholder,My friend's going to be so glad I did this.
placeholder,Do people usually text when they're on the way? Or just when they arrive?
placeholder,Three dots. Three dots. Gone. Okay.
placeholder,I'm not leaving. That's the whole point of me.
vendor,One item today. Ask me what it is.
vendor,No change. I want to be clear about that up front.
vendor,Tomorrow's item is different. I don't know what yet.
vendor,"If you're not buying, that's fine. Just don't touch."
vendor,I've been asked for water. I don't sell water. Today.
vendor,Somebody once offered me exact change. Best day of my life.
vendor,The table's not for sale. People ask.
vendor,Business is steady. Nobody buys anything. Steady.
auditor,Has anyone here actually confirmed this is the right line?
auditor,There's a sign on the next street. This street has no sign. Just noting it.
auditor,Current count: more than before. Filing that.
auditor,"If anyone has a map, I'd like to compare."
auditor,The door has no handle on this side. I've checked twice.
auditor,Who told you about this line? I'm collecting sources.
auditor,I'm not saying it's the wrong line. I'm saying it's unconfirmed.
auditor,Clipboard's for anyone. Just bring it back.
