layer,option
build,tall
build,short
build,average-height
build,lanky
build,sturdy
hair,buzz cut
hair,ponytail
hair,curtain bangs
hair,shaved head
hair,top bun
hair,mullet
hair,curly mop
hair,side part
hair,braids
hair,grey crop
top,grey hoodie
top,denim jacket
top,band tee
top,puffer vest
top,work polo
top,raincoat
top,cardigan
top,hi-vis jacket
top,oversized blazer
top,sports jersey
bottom,cargo shorts
bottom,black jeans
bottom,joggers
bottom,pleated skirt
bottom,chinos
bottom,bike shorts
bottom,corduroys
bottom,wide-leg trousers
item,tote bag
item,earbuds in
item,bucket hat
item,lanyard
item,backpack
item,nothing in particular
item,closed umbrella
item,coffee cup
item,phone on 3%
item,reusable bag with one thing in it
