id,tier,npc_id,setup,a_label,a_stat,a_difficulty,a_success,a_failure,b_label,b_stat,b_difficulty,b_success,b_failure
regular_t1_a,1,regular,"The Regular squints at you. ""You're new. I can tell because you keep checking the time. I stopped doing that in, I want to say, March."" They hold out a thermos. ""Coffee's gone cold. Still counts.""",Drink the cold coffee in one go,STRENGTH,1,"You down it. It tastes like a filing cabinet. The Regular nods slowly, the way you'd nod at a dog that finally sat.","You get halfway and something in the bottom shifts. The Regular takes the thermos back without comment, which is worse.",Ask how long they've been here,CHARM,1,"""Since the thing with the phones,"" they say. You nod like you know. They seem to appreciate being nodded at.","""Long enough,"" they say, and then don't say anything else for a while. You have made it weird."
regular_t1_b,1,regular,"The Regular has a folded-up newspaper from a date you can't quite read. ""Crossword's half done. Four down. Seven letters. Clue is: patience.""",Solve four down,INTELLIGENCE,2,"""WAITING,"" you say. They write it in, in pen, without checking. ""Huh,"" they say, and it's the warmest thing anyone's said to you today.","""STANDING,"" you say. Eight letters. The Regular looks at you, then at the paper, then back at you. ""It's fine,"" they say. It is not fine.",Hold the paper flat while they write,STRENGTH,0,"You hold it steady against the wind. They finish the clue themselves. Teamwork, technically.",A gust takes the sports section. You watch it go. The Regular watches you watch it go.
streamer_t1_a,1,streamer,"The Streamer swings the phone toward you. ""Chat, we've got a new face. Say hi to chat."" The screen says LIVE · 0.",Say hi to chat,CHARM,1,"""Hi chat,"" you say, and give a little wave. The Streamer says ""Chat loves you"" with total sincerity. Nobody is watching. It still feels nice.","""Hey... chat,"" you say, to the number zero. The Streamer says ""Awkward!"" in a bright voice and moves the camera away.",Hold the phone so they can fix their hair,STRENGTH,1,"You hold it steady at the exact angle they wanted. They say ""You're a natural, honestly."" Zero people see this.","You hold it at slightly the wrong angle. They take it back. ""It's fine. It's fine. Chat, it's fine."""
streamer_t1_b,1,streamer,"""Okay chat, sponsor segment."" The Streamer turns to you. ""I don't have a sponsor. Can you pretend to be one for like ten seconds?""",Improvise a sponsor read,CHARM,2,You recommend a fictional insole brand with such conviction the Streamer asks for a discount code. You make one up. They write it down.,"You start strong and then say ""and it's, um, waterproof"" about a product you have not named. The Streamer says ""We'll cut that."" There is no editor.",Explain that fake sponsorships are a disclosure issue,INTELLIGENCE,1,"You cite a regulation you are fairly sure exists. The Streamer says ""Chat, we're being compliant today"" and seems genuinely relieved.","You start explaining and lose the thread halfway. The Streamer nods along and says ""Legal stuff, chat."" You have not helped."
placeholder_t1_a,1,placeholder,"The Placeholder is holding a spot with both arms out, like the spot might escape. ""My friend's coming. Can you just, like, confirm to people that this spot is taken? If they ask.""",Vouch for the friend,CHARM,1,"You tell the person behind that the spot's taken. They shrug. The Placeholder mouths ""thank you"" with tears nearly in their eyes.","You say ""their friend is coming"" in a tone that makes it clear you don't believe it. The Placeholder heard the tone.",Ask what time the friend said,INTELLIGENCE,1,"""Ten minutes ago,"" they say. You point out that ten minutes ago is not a time. They laugh, a little, for the first time today.","""Soon,"" they say. You ask ""soon like when?"" and they stop making eye contact. You have touched something."
placeholder_t1_b,1,placeholder,"""Can you watch my spot AND my friend's spot?"" The Placeholder holds up two fingers. ""I need to check if they texted. I'll be one second.""",Stand wide enough for two people,STRENGTH,1,You occupy two spots with the stance of someone who has done this before. Nobody challenges you. The Placeholder returns. No text.,Someone drifts into the second spot. You don't have it in you to stop them. The Placeholder returns and does the maths.,Talk the people behind into respecting the gap,CHARM,2,You explain the situation with warmth. They agree it's a lot. Everyone stands respectfully around an empty rectangle of pavement.,"You explain the situation and someone says ""that's not really how lines work."" They are right. You have no counter."
vendor_t1_a,1,vendor,"The Vendor has a folding table and one item on it: a single umbrella. It is not raining. ""Four fifty,"" they say. ""No change.""",Point out it's not raining,INTELLIGENCE,1,"""Not yet,"" they say, and glance at a completely clear sky with such confidence you check it too.","""Not yet,"" they say. You say ""well the forecast is"" and they say ""the forecast is not here."" You have lost.",Help move the table two feet left,STRENGTH,1,"The table is heavier than it looks. You move it. The Vendor says ""better"" without explaining what's better.","You lift one end and the umbrella slides off. The Vendor picks it up and puts it back, exactly where it was, and says nothing."
vendor_t1_b,1,vendor,"""Today's item,"" says the Vendor, gesturing at a single AA battery. ""Just the one. Two dollars. I don't have change.""",Ask what it's for,INTELLIGENCE,2,"""Depends on you,"" they say. You consider this longer than you'd like to admit.","""Batteries,"" they say. You say ""yes but for"" and they say ""batteries."" You buy nothing. You learn nothing.",Compliment the merchandising,CHARM,1,"""Thank you,"" they say. ""It's about restraint."" They straighten the battery by a millimetre.","""Nice setup,"" you say. ""It's a table,"" they say. You agree. It is a table."
auditor_t1_a,1,auditor,"The Auditor has a clipboard. ""Quick one. Is this the line for the thing? Because I was told the line for the thing was on the other side.""",Assure them this is the line,INTELLIGENCE,1,"""This is the line,"" you say. They look at the clipboard, then at you, and write something down. ""Okay. Okay."" They stay.","""This is the line,"" you say. ""For what?"" they say. You have no answer. They write that down too.",Say you've been wondering the same thing,CHARM,1,"You bond over uncertainty. They show you a diagram of the block. It's quite good, actually.","You say you've been wondering too and they say ""well SOMEBODY should know"" loud enough that people turn around."
auditor_t1_b,1,auditor,"""I've counted,"" says the Auditor, ""and there are more people here than there were an hour ago, which means the line is getting LONGER, which is not how lines are supposed to go.""",Explain that people join at the back,INTELLIGENCE,2,"You explain arrivals versus departures. They nod slowly. ""A flow problem,"" they say, and draw an arrow on the clipboard.","You start explaining and use the phrase ""net throughput."" They stare at you. ""So it IS getting longer,"" they say.",Stand still and be counted,STRENGTH,0,"You stand very still while they count. ""Thirty-two,"" they say. You don't know if that's good. Neither do they.","You shift your weight and they lose count. ""From the top,"" they say, and they mean it."
regular_t2_a,2,regular,"The Regular produces a small folding stool from nowhere. ""You can have the stool for a bit. But you have to tell me something you've never told anyone in this line.""",Tell them something true,CHARM,3,"You tell them. They listen the whole way through. ""Yeah,"" they say. ""Stool's yours till the line moves."" It's a good stool.","You start with ""honestly"" and then say something you've definitely told people. They know. The stool goes back into wherever it came from.",Decline the stool. Standing is the point.,STRENGTH,3,"""Standing's the point,"" you say. The Regular looks at you for a long time. ""Yeah,"" they say finally. ""Yeah it is.""",You decline the stool and then your knee does something. The Regular sees. You both pretend they didn't.
regular_t2_b,2,regular,"""They used to hand out water,"" says the Regular. ""Little cups. There's a box behind that post that might still have some.""",Go get the box without losing your spot,STRENGTH,4,"You lunge, grab, and return in one motion. The box has eleven paper cups and no water. The Regular seems thrilled anyway.","You get to the post and somebody says ""you're out of line"" in a tone that has layers. You come back empty-handed and slightly rattled.","Ask which post, exactly",INTELLIGENCE,3,"You ask enough clarifying questions to establish that the box is real, was real, and is now probably not. The Regular respects the process.","""That post,"" they say, pointing at four posts. You pick one. It's the wrong one. It was always going to be."
streamer_t2_a,2,streamer,"""Chat wants a Q&A,"" the Streamer says, checking a chat with nothing in it. ""You're the guest. First question: what's your content?""",Describe yourself as a brand,CHARM,4,"You pitch yourself as ""lifestyle, but standing."" The Streamer says ""That's a niche"" and follows you on a platform you're not on.","You say ""I don't really have content"" and the Streamer says ""That's okay!"" in the voice of someone who thinks it isn't.",Ask about their analytics,INTELLIGENCE,2,"You ask about watch time. They pull up a dashboard that is one flat line. ""Consistent,"" you say. They love that.",You ask about analytics and they show you a graph with no y-axis. You ask about the y-axis. It's not a good moment.
streamer_t2_b,2,streamer,"""Okay chat, we're doing a bit."" The Streamer hands you a second phone. ""You're the rival streamer. We're beefing. Say something cutting.""",Deliver a devastating fake insult,CHARM,3,"You say ""At least MY chat has a zero in it too."" The Streamer gasps. ""Chat, clip that."" Nobody clips it. It lives in your heart.","You say ""your... shoes are bad."" The Streamer looks at their shoes. They're fine shoes. The bit dies.",Hold both phones steady for the two-camera setup,STRENGTH,3,"You become a tripod. Both angles are clean. The Streamer says ""production value"" with tears in their eyes.","Your arm gives out on the second phone. The camera captures pavement. ""B-roll,"" the Streamer says weakly."
placeholder_t2_a,2,placeholder,"The Placeholder's phone buzzes. They look at it and their whole face changes. ""They're... running late. Later than before. Can you help me figure out what to say back?""",Draft a reply that gets a real answer,INTELLIGENCE,3,"You write: ""No worries, what time should I stop holding it?"" The Placeholder stares at it. ""That's... direct."" They send it. Three dots appear. The dots go away.","You write ""lol no rush"" and the Placeholder sends it and there is, indeed, no rush. There will never be rush.","Suggest, gently, that they might not come",CHARM,4,"You say it softly. They nod. ""I know,"" they say. ""But I already told the guy behind us."" They keep holding the spot, but differently now.","You say it and they say ""They're COMING"" and turn away, and you have somehow made a stranger's day worse."
placeholder_t2_b,2,placeholder,"""Okay here's the thing,"" says the Placeholder. ""I need the bathroom. Can you hold MY spot and THEIR spot and if anyone asks, I'm right back.""",Hold two spots with your body,STRENGTH,3,"You spread out like a barricade. Nobody passes. The Placeholder returns, relieved in every sense.",You spread out but the line moves and you can't spread forward. The Placeholder returns to one spot. Their friend's spot is a memory now.,Explain to the neighbours,CHARM,2,"You give a short, sincere briefing. Everyone agrees to honour the gap. It's genuinely moving.","You explain and someone says ""wait, so the friend isn't even here?"" and the whole arrangement collapses under scrutiny."
vendor_t2_a,2,vendor,"The Vendor's item today is a single left glove. ""Good glove. Eight dollars. No change. And before you ask: I don't know where the right one is.""",Negotiate on the grounds that it's half a product,INTELLIGENCE,4,"You argue for a fifty percent discount. The Vendor considers this seriously. ""Four dollars,"" they say. ""No change."" You have won and also can't pay.","You argue it's half a product. ""It's a whole glove,"" they say. You can't argue with that. You try. You can't.",Try the glove on to prove it fits,STRENGTH,3,"It fits. It fits really well. You don't buy it, but you think about it for the rest of the day.","It's tight. You get it on and can't get it off. The Vendor watches. Eventually it comes off. ""Eight dollars,"" they say."
vendor_t2_b,2,vendor,"""Today's item,"" says the Vendor, unveiling a single houseplant. ""Needs water. Six dollars. No change. If you're not buying, it still needs water.""",Find water for the plant,STRENGTH,2,"You produce a water bottle and give the plant a drink. The Vendor says ""It likes you,"" which you didn't know plants could do.","You go looking for water, get caught in a conversation you weren't in, and come back with nothing. The plant looks worse. That's probably not your fault.",Identify the plant,INTELLIGENCE,5,"""Pothos,"" you say. The Vendor looks impressed for the first time in recorded history. ""Seven dollars now,"" they say.","""Fern,"" you say. It's not a fern. The Vendor says ""Fern"" back to you in a way that lets you know."
auditor_t2_a,2,auditor,"The Auditor is holding up a photo of a different line. ""Look. THAT line has a sign. This line has no sign. Ergo.""",Explain why absence of a sign proves nothing,INTELLIGENCE,3,"You walk them through it. They write ""ABSENCE IS NOT EVIDENCE"" on the clipboard and underline it twice. They stay.","You say ""signs aren't everything"" and they say ""signs are LITERALLY everything"" and then show you the photo again.",Ask to see the photo properly,CHARM,3,"You look at it with real interest. It's a good photo. You say so. They soften. ""It IS a good photo."" The line thing is forgotten for now.","You look and say ""huh."" They wait for more. There is no more. They put the photo away like you've hurt it."
auditor_t2_b,2,auditor,"""I've drawn up a form,"" says the Auditor. ""For confirming you're in the right line. Could you fill it in? It's for my records.""",Fill in the form accurately,INTELLIGENCE,4,"Question 3 is ""Purpose of visit."" You leave it blank. The Auditor looks at the blank, then at the door, then nods. ""Fair.""","You put ""N/A"" for every field. The Auditor says ""you can't N/A your own name"" and they're right.",Hold the clipboard steady while they fill it in,STRENGTH,2,You hold it at exactly the right height. They write with great satisfaction. The form is about you. You don't ask.,The pen goes through the paper. The Auditor sighs and starts a fresh copy. They have many copies.
regular_t3_a,3,regular,"The Regular leans in. ""Between us. There was a day, a while back, where the line moved backwards. Just once. Nobody believes me.""",Work out how that could have happened,INTELLIGENCE,6,"You reason it through: a merge, a miscount, someone rejoining at the wrong spot. The Regular listens, eyes shining. ""So you believe me."" You sort of do.","You say ""lines can't move backwards"" and they say ""that's what THEY said"" and you realise you've become one of THEY.",Just believe them,CHARM,5,"""I believe you,"" you say. They exhale like they've been holding it since that day. ""Thank you."" You feel it too, somehow.","You say ""sure"" in a way that has a shrug in it. They hear the shrug. They always hear the shrug."
regular_t3_b,3,regular,"""Someone once got to the front,"" the Regular says, ""and turned around and got back in line. Right at the back. I think about that a lot. What would you do?""","Say you'd do it too, and mean it",STRENGTH,6,"""I'd get back in,"" you say. The Regular studies you. ""Yeah. You would."" It's the highest compliment they have.","You say you'd get back in, and they ask ""why,"" and you don't have a why, and it shows.",Ask what that person's face looked like,INTELLIGENCE,5,"The Regular thinks for a while. ""Calm,"" they say. ""Real calm."" You both look at the door. The door does nothing.","You ask and they say ""I don't remember faces, I remember positions,"" and then they describe the position in detail. It's a lot."
streamer_t3_a,3,streamer,"""Chat, huge news."" The Streamer is shaking. ""We just got a viewer. One. And they're asking who YOU are."" The screen says LIVE · 1.",Introduce yourself to the one viewer,CHARM,6,"You look into the lens and say your name and where you are. The viewer types ""cool."" The Streamer nearly cries. It's the best day of their career.","You say ""uh, hi"" and the viewer leaves. LIVE · 0. The Streamer says ""It's fine, they had to go, chat, they had to go.""",Check whether the viewer is a bot,INTELLIGENCE,5,You ask the viewer a question a bot couldn't answer. They answer it. Real person. The Streamer's hands are shaking.,"You ask ""are you a bot"" and the viewer types ""no"" and leaves. The Streamer says ""You scared them."" You did."
streamer_t3_b,3,streamer,"The Streamer's battery is at four percent. ""I have to keep the stream up. It's the longest one I've ever done. Do you have... anything?""",Sprint to a nearby outlet and back before your spot's gone,STRENGTH,5,"You go, you plug in for ninety seconds, you return. Twelve percent. The stream lives. The Streamer calls you ""the community.""","You go, and there's a queue for the outlet. Of course there is. You come back to a black screen and a Streamer staring at their reflection in it.",Talk them through low-power settings,INTELLIGENCE,7,"Brightness down, background apps off, resolution dropped. Four percent becomes an hour. ""You're a wizard,"" they say, and they mean it.",You suggest a setting that doesn't exist on their phone. They tap around looking for it. Three percent. Two.
placeholder_t3_a,3,placeholder,"The Placeholder is very quiet. ""They texted. They said they're not coming. They said I should just go in without them."" They don't move. ""I don't know what I'm holding the spot for now.""",Tell them the spot was always theirs,CHARM,6,"""It was your spot,"" you say. ""It was always your spot."" They nod, slowly, and step into it properly for the first time.","You say ""well now you can just wait normally"" and they say ""normally"" like it's a word in a language they don't speak.",Point out they've still waited the whole time,INTELLIGENCE,6,"You explain that the wait counted whether or not the friend showed. They think about it. ""It counted,"" they repeat. Something settles.","You explain the wait still counted and they say ""counted toward WHAT"" and you look at the door and neither of you says anything."
placeholder_t3_b,3,placeholder,"""New plan,"" says the Placeholder, brighter than they've been all day. ""I'm going to hold a spot for the NEXT person who needs one. Anyone. Can you help me find someone?""",Find someone in line who needs a spot held,CHARM,5,You find someone who needs to step out for a minute. The Placeholder holds their spot with visible joy. They have a purpose again.,"You ask around and everyone says they're fine. The Placeholder holds a spot for no one, which, now that you think about it, they've been doing all along.","Suggest they hold the spot for themselves, formally",INTELLIGENCE,4,"You draft a short declaration. They sign it. They are now, on paper, holding a spot for themselves. It's oddly moving.","You suggest it and they say ""that's not how holding works"" and you don't have the energy to argue about holding."
vendor_t3_a,3,vendor,"The Vendor's item today is a small locked box. ""Twelve dollars. No key. No change. I don't know what's in it. That's not a sales pitch, that's just true.""",Deduce the contents from the weight and sound,INTELLIGENCE,7,"You shake it, tilt it, listen. ""Coins,"" you say. ""About four dollars' worth."" The Vendor's eyes narrow. ""Eight dollars, then.""","You shake it. Something rattles. ""It's... something,"" you say. The Vendor says ""Twelve dollars for something."" You have not narrowed it down.",Offer to open it by force,STRENGTH,6,"You don't open it, but you make it clear you could. The Vendor moves it slightly further from you. ""Ten dollars,"" they say. Respect.",You try to pry it and the lid doesn't move but your thumbnail does. The Vendor offers you a plaster for a dollar. No change.
vendor_t3_b,3,vendor,"""Today,"" says the Vendor, ""the item is a receipt. For something. Fifteen dollars. It's a good receipt. Thermal paper. No change.""",Read the receipt for clues,INTELLIGENCE,6,The store name is faded. The total is $15.00. The date is today. The Vendor is selling you a receipt for the receipt. You feel like you've solved something.,"You squint. The text is all faded. ""It was clearer this morning,"" says the Vendor. You believe them, somehow.",Ask them why they sell one thing a day,CHARM,5,"""One thing is enough,"" they say. ""More than one and people start choosing."" It's the most anyone's explained anything to you today.","""Why one thing?"" you ask. ""Why not?"" they say. You have no follow-up. You should have prepared a follow-up."
auditor_t3_a,3,auditor,"The Auditor has a laminated map. ""I've cross-referenced every line in a six-block radius. This one isn't on any list. Which means either it doesn't exist, or it's new. Which is it?""",Argue it's simply unlisted,INTELLIGENCE,7,"You explain that lists are lagging indicators. They look at the map, then at the very real line they're standing in. ""Unlisted,"" they whisper, and laminate a note.","You say ""maybe it's a secret"" and the Auditor's eyes go wide in a way you'll regret for the next twenty minutes.",Compliment the map,CHARM,6,"""This is really thorough,"" you say. They light up. They walk you through the legend. There's a symbol for benches. You forget about the question. So do they.","""Nice map,"" you say, and they say ""it's not NICE, it's ACCURATE"" and you have picked the wrong adjective."
auditor_t3_b,3,auditor,"""Okay,"" says the Auditor. ""I'm going to go ask someone at the front. If I'm in the wrong line I need to know. Can you hold my spot while I go?""",Hold the spot against all comers,STRENGTH,7,"You hold it. Two people try to close the gap. You don't budge. The Auditor returns with no information and their spot intact. ""Nobody at the front knows anything,"" they say, delighted.",The line moves and you get carried forward. The Auditor returns to find their spot has become a concept.,Convince them the front won't know either,INTELLIGENCE,5,"You explain that the front is just a person who waited longer. They think about that. ""Then nobody knows,"" they say, and for once that seems to calm them.","You say ""the front won't know"" and they say ""then WHO"" with such volume that the front turns around."
regular_t4_a,4,regular,"The Regular looks tired in a new way. ""I've been thinking about leaving. Not the line. Just... going home for a night. Sleeping in a bed. Would you think less of me?""",Tell them the line will still be here,CHARM,9,"You say it warmly. They laugh, a real one. ""Yeah. It's not going anywhere."" They don't leave. But they could now, and that's different.","You say ""go home, honestly"" and they hear ""you're done here"" and that is not what you meant at all.",Offer to hold their spot overnight,STRENGTH,8,"""I'll hold it,"" you say. ""Whole night."" They look at you like you've offered a kidney. They don't take it. They needed to know it was there.","You offer, and then yawn mid-sentence. The Regular pats your arm. ""You're sweet. You wouldn't make it."""
regular_t4_b,4,regular,"""You know what I've never done,"" the Regular says. ""I've never been at the front. Every time I get close, I let it go. I don't think I want to know."" They look at you. ""Do you?""",Give an honest answer about wanting to know,INTELLIGENCE,10,"You think about it properly, and say what's true. The Regular listens. ""Huh,"" they say. ""That's more than I've worked out."" Something shifts between you.","You say something clever about the journey and the destination and the Regular says ""that's a poster"" and you deserve that.","Ask them to go to the front with you, when it's time",CHARM,8,"They're quiet for a long moment. ""Maybe,"" they say. It's the first maybe they've said in years.","You ask and they shake their head hard. ""No. No. That's not how it works."" You've pushed too far."
streamer_t4_a,4,streamer,"The Streamer's phone shows LIVE · 3. They're vibrating. ""Three. THREE. One of them is asking what the line is for. What do I say? What do I SAY?""",Take the phone and answer for them,CHARM,10,"""It's the line,"" you say, into the camera, with total calm. Chat: ""ok."" ""lol."" ""fair."" Three viewers stay. The Streamer is holding your arm.","You take the phone and say ""so basically"" and then you're still saying ""basically"" twenty seconds later and viewers drop to one.",Coach them on what not to say,INTELLIGENCE,8,"You tell them: don't explain, don't guess. Just be here. They nod, turn to the camera, and say ""We're here, chat."" Chat approves. Chat is three people.","You tell them to ""stay mysterious"" and they say ""it's a MYSTERY, chat"" in a spooky voice and a viewer leaves. Then another."
streamer_t4_b,4,streamer,"""I'm going to do a 24-hour stream,"" the Streamer says. ""Of the line. I need a co-host for the night shift. You in?""",Commit to the night shift,STRENGTH,11,"You say yes and you mean it. Hour nine, you're reading chat aloud to no one, and the Streamer is asleep on your shoulder. Great content.",You say yes and are asleep by hour two. The stream captures you snoring at 720p. It gets the highest view count they've ever had.,Convince them 24 hours is a bad idea,CHARM,9,"You make the case for quality over quantity. They listen. ""Six hours,"" they say. ""Six hours and a highlight reel."" Growth.","You say it's a bad idea and they say ""you sound like my sister"" and now you're their sister, apparently."
placeholder_t4_a,4,placeholder,"The Placeholder is holding a spot for their friend again. ""They said they're coming. This time for real. They sent a screenshot of their route."" They show you. The route is from the airport.",Estimate the arrival time from the route,INTELLIGENCE,9,"Two hours, you say, allowing for traffic. The Placeholder does some maths, then some more. ""Two hours is fine,"" they say, and for the first time you believe the friend is real.","You say ""forty minutes"" and are wrong by a lot. When the friend doesn't appear at forty minutes, the Placeholder looks at you like you promised.",Offer to help hold the spot until then,CHARM,8,You take turns leaning into the gap. It becomes a shift system. A stranger joins. The friend arrives. The friend is real. Everyone cries a little.,"You offer, and then you drift. The gap closes. The friend arrives to a Placeholder holding air."
placeholder_t4_b,4,placeholder,"""I've been holding this spot so long,"" the Placeholder says, ""I don't think I know how to just... be in line. As myself. Does that make sense?""",Help them practise being in line as themselves,CHARM,10,"You stand together, not holding anything. Just standing. ""This is weird,"" they say. ""Good weird."" They stop looking at their phone.","You say ""just stand there"" and they stand there so rigidly that people ask if they're okay. They are not, quite.",Reframe the holding as a skill,INTELLIGENCE,8,"You point out that holding space for someone is a thing people pay for. They laugh. ""A professional."" The word suits them.","You say ""holding is a skill"" and they say ""a skill for WHAT"" and you say ""holding"" and the loop does not close."
vendor_t4_a,4,vendor,"The Vendor's item today is a folding chair. ""Twenty dollars. No change. It's a good chair. Sitting is not permitted in the line, but I don't make the rules. I just sell the chair.""","Carry the chair, unfolded, for the rest of your wait, without sitting",STRENGTH,10,"You carry it like a shield. People look. You never sit. The Vendor says ""I've never seen anyone do that"" and gives you a discount you can't use.",You carry it for a while and then your arms make a decision without you. You sit. Briefly. Everyone saw.,"Argue the chair is a lifestyle product, not a seat",INTELLIGENCE,9,"You make a case involving posture and intention. The Vendor listens. ""A lifestyle chair,"" they say, and change the price tag. Up.","You argue and the Vendor says ""it's a chair, you sit on it"" and folds it, unfolds it, and folds it again as a demonstration."
vendor_t4_b,4,vendor,"""Today's item,"" says the Vendor, ""is a number. Seventeen. Twenty-five dollars. It's a good number. No change."" There is nothing on the table.","Buy the number, conceptually",INTELLIGENCE,11,"You ask what you get. ""Seventeen,"" they say. You shake on it. You now own seventeen. You feel, strangely, wealthier.","You ask what you get and they say ""seventeen"" and you say ""but what IS it"" and they say ""it's seventeen"" and this goes on.",Convince them to throw in eighteen,CHARM,9,"""Two for one,"" you say, and smile. The Vendor considers. ""Eighteen's not for sale."" Pause. ""But I'll mention you had a good attitude.""","You ask for eighteen and they say ""eighteen is TOMORROW'S item"" with such offence that you apologise to a number."
