text,prompt
"Whoever you are, I hope your shoes are comfortable. Mine were not.",Tell them what your shoes are like.
There was a pigeon earlier that looked at me like it knew something. Keep an eye out.,Tell them something you noticed while waiting.
I ate my emergency snack at minute nine. Learn from me.,What did you eat today?
"If the person behind you is humming, it's fine. They were behind me too.",Describe a sound you can hear right now.
I don't know you but I'm proud of you for standing here.,Say something to someone who's tired.
Somebody's phone alarm has been going off in a bag for twenty minutes. Nobody has claimed it.,Describe a sound you can hear right now.
Check your pockets. You have more receipts than you think.,Leave a piece of advice you didn't take.
I counted the windows on the building across the street. There are 41. Now you don't have to.,Tell them something you noticed while waiting.
My mum texted 'are you still in that line' and I said yes and she said 'ok' and that was the whole conversation.,Say something true that isn't important.
"It's going to rain in a minute. Or it was, when I wrote this. Either way, hi.",Describe the weather without using the word for it.
Don't lean on the post. It moves.,Leave a piece of advice you didn't take.
I had a whole speech planned for this and now it's just: good luck with the rest of your day.,Wish them something specific.
"Someone ahead of me was wearing two different shoes. On purpose, I think. Iconic.",Describe the person in front of you without judging them.
You've waited longer than you think. That's the thing about it.,"Tell them the time, in your own words."
I'd tell you what I'm having for dinner but I don't know yet either.,What did you eat today?
There's a bakery two streets over. Don't go. But it's there.,What did you nearly do instead of this?
I've been thinking about a song for an hour and I still don't know what it's called.,Say something true that isn't important.
"Nobody's going to ask, so: how are you, actually?",Recommend nothing. Just say hi.
"If you're reading this, someone stood exactly here and thought about you. That's all. That's the message.",Write what you'd want to read right now.
Standing still for this long makes you realise how much you usually move.,Tell them something you noticed while waiting.
I came here after work and now I'm not sure which one was the job.,What did you nearly do instead of this?
I hope the weather's the same as when I left. It was pretty good.,Describe the weather without using the word for it.
"The person in front of me was called Dev and he never said a word. Dev, if this is you, hi.",Describe the person in front of you without judging them.
I did not need to be here. I stayed anyway. That felt important to say.,Say something true that isn't important.
There's a vending machine on the corner and it only sells one thing and I still don't know what it is.,Tell them something you noticed while waiting.
My step count is huge. My steps were all in place.,What's a small thing that went right today?
Nothing happened while I waited and it was the best afternoon I've had in weeks.,What's a small thing that went right today?
Tell the next person something kind. I'm telling you: you're doing great.,Leave a compliment for a stranger.
I met a stranger here who's now a person I'll think about occasionally forever.,What's a small thing that went right today?
At one point everyone in the line looked up at the same time. I don't know why. Nothing was there.,Tell them something you noticed while waiting.
I made a list of things I'd do after this. I lost the list. I feel free.,What's a small thing that went right today?
"Somebody offered me half a sandwich. I said no and I regret it, and I'll regret it for years.",Leave a piece of advice you didn't take.
The line moved twice while I wasn't looking and both times I felt like I'd missed something.,Tell them one thing you'd tell yourself an hour ago.
I brought a book and read the same page four times. Good page.,Tell them something you noticed while waiting.
The awning drips. Stand slightly to the left.,Leave a piece of advice you didn't take.
"I'm writing this with cold hands. If it's warm where you are, enjoy it for me.",Describe your hands right now.
The kid in front of me asked their dad what we were waiting for and he said 'you'll see' and I've been thinking about it since.,What's the last thing that made you laugh?
"Whatever you write next, make it better than this. It's not hard.",Write what you'd want to read right now.
"I don't have advice. I have this: you're nearly there. That's a fact, not encouragement.",Say something to someone who's tired.
My coffee's gone cold. It was cold when I got it. Something to think about.,What did you eat today?
There's a sock on the pavement near the bins. It's been there the whole time. It might be there for you too.,Tell them something you noticed while waiting.
I texted 'nearly there' to three people and it was never true until now.,"Tell them the time, in your own words."
"If you see someone in a yellow raincoat, they were nice to me. Be nice to them.",Leave a compliment for a stranger.
I wanted to say something profound. I'm hungry. That's what I've got.,What did you eat today?
You'll forget most of this wait. I'm hoping you don't forget this bit.,Write what you'd want to read right now.
Somebody behind me is explaining the offside rule to nobody. It's been going on for a while.,Describe a sound you can hear right now.
I got here early. It didn't matter. Nothing about getting here early mattered. I loved it anyway.,Tell them one thing you'd tell yourself an hour ago.
Please don't tap the door. Someone did and we all felt it.,Leave a piece of advice you didn't take.
I've been here so long my phone thinks this is my home.,"Tell them the time, in your own words."
Hello from earlier. It's later now. That's the whole trick.,Recommend nothing. Just say hi.
